en,fr,mode,verb,group
We are going to put,Nous allons mettre,futur-proche,mettre,3
You are going to put,Vous allez mettre,futur-proche,mettre,3
They are going to put,Ils vont mettre,futur-proche,mettre,3
I will put,Je mettrai,futur,mettre,3
You will put,Tu mettras,futur,mettre,3
She will put,Elle mettra,futur,mettre,3
We will put,Nous mettrons,futur,mettre,3
You will put,Vous mettrez,futur,mettre,3
They will put,Ils mettront,futur,mettre,3
I would put,Je mettrais,conditionnel-present,mettre,3
You would put,Tu mettrais,conditionnel-present,mettre,3
She would put,Elle mettrait,conditionnel-present,mettre,3
We would put,Nous mettrions,conditionnel-present,mettre,3
You would put,Vous mettriez,conditionnel-present,mettre,3
They would put,Ils mettraient,conditionnel-present,mettre,3
That I put,Que je mette,subjunctive-present,mettre,3
That you put,Que tu mettes,subjunctive-present,mettre,3
That he put,Qu'il mette,subjunctive-present,mettre,3
That she put,Qu'elle mettes,subjunctive-present,mettre,3
That we put,Que nous mettions,subjunctive-present,mettre,3
That you put,Que vous mettiez,subjunctive-present,mettre,3
That they put,Qu'elles mettent,subjunctive-present,mettre,3
,,,,
